Timestamp,1 - What is your current situation regarding the CC course?,2- In which year and semester did you enroll in the CC course? Example 2007.1,"3 - In which semester did you end up, quit or are you currently? Example 2010.1",4 - Before joining the course did you already have any experience with the Computing area or did you have information about it?,5 - Before you went to university did you study in what kind of school?,"6 - If you studied in a public school, what type of institution?",7 - Before entering the university in which city / state did you live? Example Mombasa / CE,8 - Upon entering the university did you move to Mossoró / RN?,9 - Did you live in the academic village?,10 - What is the monthly income of your family when you enter university?,11 - Which race do you consider yourself to belong to?,12 - Did you get any scholarships during the period you were in the course?,"13 - In relation to your academic achievement, until the second semester of the course did you go?",14 - Do you consider that during the period that was in the course had the proper accompaniment of the university? Example: PROAE or Coordination of the course.,15 - Do you consider that the curriculum of the CC course is adequate to what is required in the job market?,"16 - In relation to the chain of prerequisites of the course subjects, do you consider appropriate?","17 - In relation to the criteria for assessing student performance, do you consider appropriate?","18 - Regarding the infrastructure of the institution such as laboratories, libraries, computer equipment ... do you consider appropriate?","19 - Regarding teachers, do you consider that they have pedagogical deficiencies, lack of interest or other problems?",20 - Do you consider that the careers related to the CC course are socially recognized?,"21 - In relation to the market, do you consider that the professional trained in CC is properly paid?","22 - In relation to the country, during the period that you were in the course, were they married?","23 - Regarding your mother, what is her level of education?","24 - Regarding your father, what is his level of education?","25 - If you have dropped out of the course, what is the main reason you gave up?",26 - Do you want to make any consideration / suggestion regarding the course or any point that you deem important?
2019/04/03 10:29:55 PM GMT-3,conclusive,2012.1,2016.2,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,White,No,Approved in all subjects,No,No,Yes,Yes,Yes,No,No,No,Yes,Complete high school,Complete high school,nan,"Regarding question 15: ""Do you consider that the curricular curriculum of the CC course is appropriate to what is demanded in the labor market?"": I believe that the curriculum is very ingrained, many compulsory subjects and few electives, if the student wishes , for example, to do the course of computation with emphasis in some area such as, for example: Software Engineering, Embedded Systems, Data Mining, Machine Learning, Robotics, Data Engineering; As much as he wanted to direct the course to one of these areas, the supply of electives was so low that the student often had no choice and ended up putting options that were not in his best interest.

PERSONAL RELEASE: While I was attending the undergraduate course in at least one semester, there was only one elective course that fit into a certain schedule (reserved for elective courses), the others that I could enroll had already been paid or collided schedule. This shows how limited the supply of electives was in the period I attended."
2019/04/26 10:52:47 PM GMT-3,Desist,2013.1,2014.1,Yes,Private,nan,bacabal/maranhão,Yes,No,More than 3000 reais,Black,No,Disapproved in a discipline,No,Yes,No,No,No,No,No,No,Yes,Complete Postgraduate Diploma,Complete Postgraduate Diploma,depression,there should be better monitoring of students
2019/05/03 9:49:06 AM GMT-3,Desist,2007.2,2008.2,No,Public,Public,Limoeiro do Norte/CE,No,No,Less than 500 reais,Black,No,Disapproved in three disciplines,No,No,No,No,No,Yes,No,No,No,Incomplete elementary school,Incomplete elementary school,nan,nan
2019/05/03 9:52:00 AM GMT-3,Desist,2010.2,2012.1,No,Public,Public,Russas/CE,No,No,Between 501 and 1000 reais,Brown,No,Disapproved in four subjects,No,No,No,No,No,No,No,No,No,Complete primary education,Incomplete elementary school,nan,nan
2019/05/03 9:55:11 AM GMT-3,conclusive,2012.1,2018.1,Yes,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2001 and 2500 reais,White,No,Approved in all subjects,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Incomplete post-graduation,Higher Education Complete,nan,nan
2019/05/03 10:00:14 AM GMT-3,Desist,2008.2,2009.2,No,Public,Public,Mossoró/RN,Yes,No,Between 501 and 1000 reais,Brown,No,Disapproved in three disciplines,No,No,No,No,No,Yes,No,No,No,Complete primary education,Incomplete high school,nan,nan
2019/05/03 10:03:18 AM GMT-3,Desist,2010.1,2013.1,No,Public,Public,Limoeiro do Norte/CE,No,No,Between 501 and 1000 reais,Black,No,Disapproved in more than five disciplines,No,No,No,No,No,No,No,No,No,Complete primary education,Complete primary education,nan,nan
2019/05/03 10:06:17 AM GMT-3,conclusive,2009.2,2015.1,Yes,Private,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Disapproved in a discipline,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Complete Postgraduate Diploma,Incomplete post-graduation,nan,nan
2019/05/03 10:12:25 AM GMT-3,Desist,2006.2,2007.2,No,Public,Public,Russas/CE,No,No,Less than 500 reais,Yellow,No,Disapproved in three disciplines,No,No,No,No,No,Yes,No,No,No,Complete primary education,Incomplete high school,nan,nan
2019/05/03 10:15:45 AM GMT-3,Desist,2008.2,2011.1,No,Public,Public,Limoeiro do Norte/CE,No,No,Between 501 and 1000 reais,Black,No,Disapproved in four subjects,No,No,No,No,No,Yes,No,No,No,Complete primary education,Complete primary education,nan,nan
2019/05/03 10:19:15 AM GMT-3,conclusive,2007.2,2012.2,Yes,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Complete Postgraduate Diploma,Complete Postgraduate Diploma,nan,nan
2019/05/03 10:23:23 AM GMT-3,Desist,2011.1,2014.1,No,Public,Public,Russas/CE,No,No,Between 501 and 1000 reais,Black,No,Disapproved in two disciplines,No,No,No,No,No,Yes,No,No,No,Incomplete elementary school,Complete primary education,nan,nan
2019/05/03 10:27:12 AM GMT-3,Desist,2008.2,2009.2,No,Public,Public,Fortaleza/CE,Yes,Yes,Between 1001 and 1500 reais,Brown,No,Disapproved in four subjects,No,No,No,No,No,Yes,No,No,No,Incomplete high school,Complete high school,nan,nan
2019/05/03 10:31:44 AM GMT-3,conclusive,2011.1,2018.2,Yes,Private,Military school,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Complete Postgraduate Diploma,Complete Postgraduate Diploma,nan,nan
2019/05/03 10:41:42 AM GMT-3,Desist,2014.1,2016.2,No,Public,Public,Russas/CE,No,No,Less than 500 reais,Brown,No,Disapproved in more than five disciplines,No,No,No,No,No,Yes,No,No,No,Incomplete elementary school,Incomplete elementary school,nan,nan
2019/05/03 10:44:31 AM GMT-3,conclusive,2008.2,2013.2,Yes,Private,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Higher Education Complete,Higher Education Complete,nan,nan
2019/05/03 10:47:18 AM GMT-3,Desist,2008.1,2009.2,No,Public,Public,Quixeré/CE,No,No,Between 501 and 1000 reais,Black,No,Disapproved in more than five disciplines,No,No,No,No,Yes,Yes,No,No,No,Incomplete high school,Complete high school,nan,nan
2019/05/03 10:49:56 AM GMT-3,conclusive,2007.1,2012.2,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Complete Postgraduate Diploma,Incomplete post-graduation,nan,nan
2019/05/03 10:51:41 AM GMT-3,Desist,2006.2,2008.1,No,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,White,No,Disapproved in two disciplines,No,Yes,No,No,No,No,Yes,No,No,Incomplete high school,Complete high school,nan,nan
2019/05/03 11:07:50 AM GMT-3,conclusive,2008.2,2014.1,Yes,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2501 and 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Higher Education Complete,Higher Education Complete,nan,nan
2019/05/03 11:14:19 AM GMT-3,Desist,2014.1,2017.2,No,Public,Public,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,Black,No,Disapproved in four subjects,No,No,No,No,No,Yes,No,No,No,Complete primary education,Complete high school,nan,nan
2019/05/03 11:25:26 AM GMT-3,conclusive,2007.2,2014.1,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,No,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Incomplete post-graduation,Complete Postgraduate Diploma,nan,nan
2019/05/03 12:21:58 PM GMT-3,Desist,2016.1,2017.1,No,Public, Public,Taboleiro do Norte/CE,No,No,Less than 500 reais,Brown,No,Disapproved in more than five disciplines,No,No,No,No,No,Yes,No,No,No,Incomplete elementary school,Complete primary education,nan,nan
2019/05/03 12:28:48 PM GMT-3,Desist,2007.2,2008.2,No,Public,Public,Limoeiro do Norte/CE,No,Yes,Between 501 and 1000 reais,Black,No,Disapproved in four subjects,No,No,No,No,No,Yes,No,No,No,Incomplete high school,Complete high school,nan,nan
2019/05/03 12:31:45 PM GMT-3,Desist,2015.1,2015.2,No,Public,Public,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1501 and 2000 reais,Yellow,No,Disapproved in three disciplines,No,No,No,No,No,Yes,No,No,No,Complete high school,Complete high school,nan,nan
2019/05/03 12:54:29 PM GMT-3,Desist,2008.2,2012.2,No,Public,Public,Natal/RN,Yes,Yes,Between 501 and 1000 reais,Black,No,Disapproved in four subjects,No,No,No,No,No,Yes,No,No,No,Complete primary education,Incomplete high school,nan,nan
2019/05/03 1:00:06 PM GMT-3,conclusive,2006.2,2010.1,Yes,Private,Federal Institute,Limoeiro do Norte/CE,Yes,Yes,More than 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Higher Education Complete,Incomplete post-graduation,nan,nan
2019/05/03 1:02:45 PM GMT-3,Desist,2009.1,2010.1,No,Public,Public,Russas/CE,No,No,Between 501 and 1000 reais,Black,No,Disapproved in three disciplines,No,No,No,No,No,Yes,No,No,No,Complete high school,Incomplete high school,nan,nan
2019/05/03 2:09:49 PM GMT-3,Desist,2016.2,2017.2,No,Public,Public,Russas/CE,No,No,Less than 500 reais,Brown,No,Disapproved in two disciplines,No,No,No,No,No,Yes,No,No,No,Incomplete high school,Complete high school,nan,nan
2019/05/03 2:12:18 PM GMT-3,Desist,2015.1,2016.2,No,Public,Federal Institute,Limoeiro do Norte/CE,No,No,Between 501 and 1000 reais,Yellow,No,Disapproved in three disciplines,No,No,No,No,No,Yes,No,No,Yes,Complete high school,Incomplete high school,nan,nan
2019/05/03 2:16:21 PM GMT-3,conclusive,2008.1,2013.2,Yes,Private,nan,Russas/CE,Yes,Yes,More than 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Complete Postgraduate Diploma,Complete Postgraduate Diploma,nan,nan
2019/05/03 2:19:52 PM GMT-3,conclusive,2008.1,2014.1,Yes,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2501 and 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Incomplete post-graduation,Incomplete higher education,nan,nan
2019/05/03 2:22:35 PM GMT-3,conclusive,2016.1,2018.1,Yes,Private,nan,Russas/CE,Yes,Yes,Between 2501 and 3000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Incomplete higher education,Complete Postgraduate Diploma,nan,nan
2019/05/03 2:27:25 PM GMT-3,Desist,2007.1,2010.2,No,Public,Military school,Natal/RN,Yes,Yes,Between 1001 and 1500 reais,Brown,No,Disapproved in four subjects,No,No,No,No,No,Yes,No,No,No,Incomplete elementary school,Complete primary education,nan,nan
